gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Actuator,Actuator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ChemicalProperty,Chemical property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Sensor,Sensor,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Tariff,Tariff,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water,Water,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water meter,Water meter,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water infrastructure,Water distribution infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8699; levenshtein=0.6129; semantic=0.9133; sequence_match=0.7600,False,0.8478,True,selected
Temporal entity,Temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9437; levenshtein=0.7333; semantic=0.7757; sequence_match=0.7586,False,0.826,True,selected
Measurement,Water measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7746; levenshtein=0.6875; semantic=0.8578; sequence_match=0.8148,False,0.8157,True,selected
Water asset,Asset,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6500; levenshtein=0.5000; semantic=0.7888; sequence_match=0.6667,False,0.7018,True,selected
Water property,Physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6775; levenshtein=0.5000; semantic=0.6818; sequence_match=0.6207,False,0.66,True,selected
Temporal duration,Temperature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8539; levenshtein=0.5000; semantic=0.5464; sequence_match=0.5185,False,0.6396,True,selected
ChemicalProperty,Physical property,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8494; levenshtein=0.8125; semantic=0.7272; sequence_match=0.8125,False,0.8248,False,gold already mapped to 'Chemical property'
Water asset,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7822; sequence_match=0.6667,False,0.783,False,pred already taken by 'Water' (higher averaged score)
Temporal duration,Temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8842; levenshtein=0.6250; semantic=0.7134; sequence_match=0.7097,False,0.7691,False,pred already taken by 'Temporal entity' (higher averaged score)
Water,Water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7250; sequence_match=0.6667,False,0.7639,False,gold already mapped to 'Water'
Water meter,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7250; sequence_match=0.6667,False,0.7639,False,gold already mapped to 'Water meter'
Water meter,Water measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8703; levenshtein=0.5000; semantic=0.8029; sequence_match=0.6154,False,0.7628,False,gold already mapped to 'Water meter'
Water asset,Water meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8800; levenshtein=0.6000; semantic=0.6761; sequence_match=0.7000,False,0.752,False,pred already taken by 'Water meter' (higher averaged score)
Water asset,Water measurement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8703; levenshtein=0.5625; semantic=0.6377; sequence_match=0.6923,False,0.7334,False,pred already taken by 'Measurement' (higher averaged score)
Water property,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8769; levenshtein=0.3846; semantic=0.7427; sequence_match=0.5556,False,0.7251,False,pred already taken by 'Water' (higher averaged score)
Water property,Water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6430; sequence_match=0.6087,False,0.7032,False,pred already taken by 'Water meter' (higher averaged score)
Water,Water measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8625; levenshtein=0.3125; semantic=0.7375; sequence_match=0.4762,False,0.692,False,gold already mapped to 'Water'
Water infrastructure,Water measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8263; levenshtein=0.4211; semantic=0.6645; sequence_match=0.5714,False,0.6874,False,gold already mapped to 'Water distribution infrastructure'
Meter,Water meter,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5667; levenshtein=0.5000; semantic=0.8188; sequence_match=0.6667,False,0.684,False,pred already taken by 'Water meter' (higher averaged score)
Water infrastructure,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8526; levenshtein=0.2632; semantic=0.7613; sequence_match=0.4167,False,0.6769,False,gold already mapped to 'Water distribution infrastructure'
Meter,Water,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7333; levenshtein=0.6000; semantic=0.5987; sequence_match=0.6000,False,0.6444,False,pred already taken by 'Water' (higher averaged score)
Temporal entity,Temperature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8347; levenshtein=0.5000; semantic=0.5150; sequence_match=0.5600,False,0.6366,False,gold already mapped to 'Temporal setting'
Water property,Chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6647; levenshtein=0.5000; semantic=0.6228; sequence_match=0.6207,False,0.6361,False,gold already mapped to 'Physical property'
Acceptability property,Physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6567; levenshtein=0.4762; semantic=0.6934; sequence_match=0.5405,False,0.6302,False,pred already taken by 'Water property' (higher averaged score)
Acceptability property,Chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7044; levenshtein=0.5238; semantic=0.6355; sequence_match=0.5405,False,0.6268,False,pred already taken by 'ChemicalProperty' (higher averaged score)
Water property,Water measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6635; levenshtein=0.4375; semantic=0.6256; sequence_match=0.5517,False,0.6136,False,gold already mapped to 'Physical property'
Time-based tariff,Tariff,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4556; levenshtein=0.4000; semantic=0.7981; sequence_match=0.5714,False,0.6084,False,pred already taken by 'Tariff' (higher averaged score)
