Gold_term,Pre_term,Method,Score
consequence,isconsequenceof,top3_avg(jaro_winkler+sequence_match+semantic),0.8414
hasaction,haspart,top3_avg(jaro_winkler+semantic+sequence_match),0.7031
hasconstraint,hasconstraint,hard_match,1.0000
hasduty,hasduty,hard_match,1.0000
hasoperator,hasoperator,hard_match,1.0000
hasprohibition,hasparty,top3_avg(jaro_winkler+semantic+sequence_match),0.6667
obligation,violationof,top3_avg(jaro_winkler+sequence_match+semantic),0.6792
partof,ispartof,top3_avg(jaro_winkler+sequence_match+semantic),0.8681
remedy,remedies,top3_avg(jaro_winkler+semantic+sequence_match),0.8242
scope,hastype,top3_avg(semantic+jaro_winkler+sequence_match),0.6291
